名字,开放时间,评分,建议游玩时间,门票,来源城市
"加井岛Jiajing Island",8:00-18:30,4.5,4,330,万宁
"巴厘村Bali Village",07:30-17:30,4,12,25,万宁
"兴隆热带植物园Xinglong Tropical Botanical Garden",8:00-17:00,4.5,2.5,48,万宁
"日月湾Riyue Bay Haimen Tourism Area",07:30-17:30,4.7,1.75,288,万宁
"东山岭文化旅游区Dongshan Ridge Cultural Tourism Area",07:30-17:00,4.5,4,40,万宁
"兴隆热带花园Xinglong Tropical Garden",7:30-18:00,4.2,2.5,7,万宁
"兴隆南药植物园Xinglong South Medicine Botanical Garden",7:00-18:30,4.1,2.5,1,万宁
"西岛West Island",08:30-17:30,4.4,4,90,三亚
"亚龙湾国际玫瑰谷Yalong Bay Rose Valley",08:00-17:30,3.9,2.5,44.4,三亚
"天涯海角Tianya Haijiao",07:30-18:20,4.5,4,79,三亚
"小东海Xiaodonghai",9:00-16:00,4.6,3,368,三亚
"情人岛Lover Island",08:00-17:30,4.6,1.5,1,三亚
"五指山Wuzhishan",7:30-16:00,5,2.5,0,三亚
"亚龙湾滨海世界Yalong Bay Ailifang Marina Park",8:00-18:00,4.6,12,218,三亚
"鹿回头风景区Luhuitou Scenic Area",08:00-22:30,4.6,3,35,三亚
"大小洞天Daxiaodongtian Area",07:30-18:30,4.6,3.5,25,三亚
"情人湾Lover Bay",8:00-17:30,4.5,1.5,88,三亚
"观日岩Sunrising Rock",08:00-17:30,4.7,1,0,三亚
"南山海上观音Guanyin Goddess at Nanshan",8:00-17:30,4.8,1.5,122,三亚
"万达文化中心",9:00-18:00,4.7,0.5,0,三亚
"天涯海角-财富石",7:00-18:30,4.8,0.5,1,三亚
"天涯海角-平安石",7:30-18:00,4.5,0.5,1,三亚
"大金湖Dajin Lake",8:00-14:30,4.2,4.5,203,三明
"侠天下景区Xiatianxia Scenic Area",08:00-17:00,4.2,12,188,三明
"九龙潭Nine Dragon Pond",8:00-16:00,4.5,1,100,三明
"玉华洞Yuhua Cave",08:15-16:50,4.4,2.5,90,三明
"明清园Mingqing Park (West Gate)",8:00-17:30,4.4,2.5,60,三明
"尚书第Shangshu Mansion",8:30-17:30,4.6,2.5,16.8,三明
"三明九阜山Jiufu Mountain",8:00-17:00,4.4,12,20,三明
"上清溪Shangqing Rivulet",7:30-16:00,4.4,2.75,130,三明
"状元岩Number One Scholar Rock",8:00-16:00,4.6,1.5,21.97,三明
