名字,开放时间,评分,建议游玩时间,门票,来源城市
"西岛West Island",08:30-17:30,4.4,4,90,三亚
"亚龙湾国际玫瑰谷Yalong Bay Rose Valley",08:00-17:30,3.9,2.5,44.4,三亚
"天涯海角Tianya Haijiao",07:30-18:20,4.5,4,79,三亚
"小东海Xiaodonghai",9:00-16:00,4.6,3,368,三亚
"情人岛Lover Island",08:00-17:30,4.6,1.5,1,三亚
"五指山Wuzhishan",7:30-16:00,5,2.5,0,三亚
"亚龙湾滨海世界Yalong Bay Ailifang Marina Park",8:00-18:00,4.6,12,218,三亚
"鹿回头风景区Luhuitou Scenic Area",08:00-22:30,4.6,3,35,三亚
"大小洞天Daxiaodongtian Area",07:30-18:30,4.6,3.5,25,三亚
"情人湾Lover Bay",8:00-17:30,4.5,1.5,88,三亚
"观日岩Sunrising Rock",08:00-17:30,4.7,1,0,三亚
"南山海上观音Guanyin Goddess at Nanshan",8:00-17:30,4.8,1.5,122,三亚
"万达文化中心",9:00-18:00,4.7,0.5,0,三亚
"天涯海角-财富石",7:00-18:30,4.8,0.5,1,三亚
"天涯海角-平安石",7:30-18:00,4.5,0.5,1,三亚
"中山詹园Zhongshan Mansion Garden",8:30-17:30,4.5,2,50,中山
"中山影视城Zhongshan TV and Film City",08:30-19:30,4.2,3,60,中山
"五桂山Wuguishan",8:00-18:00,4.4,4.5,1,中山
"孙中山故居纪念馆Sun Yat-Sen Memorial Hall",09:00-17:30,4.6,2.5,0.5,中山
"紫马岭公园Zimaling Park",07:00-20:00,4.5,1.5,8,中山
"鹿鸣湖山庄",8:30-18:00,3,3,10,中山
"玉龙雪山Jade Dragon Snow Mountain",07:30-16:30,4.5,12,273,丽江
"蓝月谷Blue Moon Valley",08:00-16:00,4.6,3.5,226,丽江
"木府Mufu Palace",8:30-17:30,4.7,2,20,丽江
"玉龙雪山索道Yulong Snow Mountain Cableway",08:00-16:00,4.4,0.5,328,丽江
"虎跳峡（丽江段）Tiger Leaping Gorge",7:30-16:30,4.6,2.5,6518,丽江
"万古楼Wangu Pavilion",8:30-18:00,4.4,0.75,27.8,丽江
"云杉坪Yunshanping",7:00-18:00,4.4,2,88,丽江
"长江第一湾First bay of the Yangtze River",8:00-18:00,4.2,1.5,3499,丽江
"观音峡Guanyin Gorge",7:30-18:30,4.2,1.5,210,丽江
"杜鹃园",9:00-18:00,4,2,105,丽江
"雪山峡谷演艺公园Snow Mountain Canyon Park",8:00-17:30,4.8,1.5,800,丽江
"东巴谷Dongba Valley",08:30-22:00,4.2,3,800,丽江
"茶马古道安中马场Ancient Tea Route Anzhong Racecourse",8:00-17:00,3.1,1.25,0,丽江
"扎美寺Zhamei Temple",8:00-18:00,4.1,1.5,20,丽江
"吉意溶洞Guyi Cave",9:00-17:00,4.5,2,15,丽江
