名字,开放时间,评分,建议游玩时间,门票,来源城市
"七仙岭温泉",08:00-22:30,5,6,30,保亭
"七仙岭温泉国家森林公园Qixianling (Seven Fairies Ridge) Hot Spring National Forest Park",7:00-17:00,4.5,72,35,保亭
"七娘山Qiniang Mountain",9:00-18:00,4.7,3,68,深圳
"七峰山生态旅游区Qifeng Mountain Ecological Tourism Area",7:00-17:30,4.1,12,60,南阳
"七星岩景区",07:00-17:30,4,4,70,肇庆
"万仙山景区Wanxian (“Ten Thousand Divinities”) Mountain Scenic Area",7:00-18:00,4.3,108,73,新乡
"万佛山Mount Wanfo",08:00-17:30,4.5,72,60,六安
"万峰林景区Wanfenglin (“Ten-Thousand Peak Forest”)",08:30-17:30,4.6,4,110,黔西南
"万峰湖Wanfeng Lake",08:30-17:30,4.3,1.5,65,黔西南
"万绿谷Wanlugu Valley",9:00-17:30,4.2,5,30,河源
"万花山Wanhua Mountain",8:30-17:30,4.3,2.5,28,延安
"万象山公园Wanxiangshan Park",7:00-21:00,4.5,2.5,0,丽水
"三仙山风景区Sanxian Mountain Scenic Area",7:00-17:00,4.5,2.5,99.7,烟台
"三峡南津关大峡谷Nanjinguanda Canyon Sceneic Area",9:00-17:00,4.1,5,49,宜昌
"三明九阜山Jiufu Mountain",8:00-17:00,4.4,12,20,三明
"三清山梯云岭",7:00-20:00,5,1.5,2,上饶
"三百山景区Sanbaishan Mountain Scenic Area",08:00-17:30,4.5,4,6,赣州
"三皇寨Sanhuang Village",8:00-17:00,4.6,3.5,80,郑州
"上甘岭溪水国家森林公园Xishui National Forest Park",07:30-17:00,4.5,72,40,伊春
"东寨港红树林Dongzhaigang mangroves",9:00-17:30,4.2,2.5,55,海口
"东山岭文化旅游区Dongshan Ridge Cultural Tourism Area",07:30-17:00,4.5,4,40,万宁
"东山风动石景区Dongshan  Fengdong Rock Scenic Area",7:00-18:00,4.4,3.5,42,漳州
"东崖绝壁Dongya Cliff",04:30-16:30,4.5,2.5,50,舟山
"东巴谷Dongba Valley",08:30-22:00,4.2,3,800,丽江
"东海半边山Banbian Mountain",8:00-17:00,4.3,2,18,宁波
"东福山岛Dongfushan Island",8:00-17:00,4.7,108,0,舟山
"东西岩景区East-West Rock Scenic Resort",7:30-17:00,4.4,3.5,40,丽水
"东部华侨城茶溪谷Eastern Huaqiao Cheng Tea Valley",09:00-17:00,4.1,12,180,深圳
"丫山花海石林Yashan Flower Sea and Stone Forest",8:00-17:00,4.2,12,55,芜湖
"丫山风景区Mt. Ya Scenic Park",08:00-18:30,4.3,12,59.9,赣州
"中国丹霞谷Danxia Valley",8:00-17:00,4.2,2.5,60,遵义
"中坝大峡谷Zhongba Canyon",8:00-18:00,4.3,72,55,安康
"中宁县双龙山石窟文物陈列馆Zhongningxian Shuang Long Shan Shiku Wenwu Exhibition Hall",9:00-17:00,3,1.5,0,中卫
"中山影视城Zhongshan TV and Film City",08:30-19:30,4.2,3,60,中山
"中山码头Zhongshan Ferry Terminal",06:00-19:00,4.6,1,2,南京
"中山纪念堂Sun Yat-Sen Memorial",09:00-17:30,4.7,2.5,138,广州
"中山詹园Zhongshan Mansion Garden",8:30-17:30,4.5,2,50,中山
"中山陵音乐台",7:00-18:00,3.9,1,10,南京
"中江樱花岭",9:00-18:00,5,12,20,德阳
"中雁荡山Mid Yandang Mountain",8:30-17:00,4.4,5,10,温州
"丰都鬼城名山景区Fengdu Ghost City",07:30-17:20,4.3,2.5,85,重庆
"临朐红叶小镇樱花谷",08:30-16:30,4,2.5,35,潍坊
"丹霞山Mount Danxia",8:30-17:20,4.6,108,50,韶关
"乌兰木图山风景区Wulanmutu Mountain Sceneic Area",8:30-16:30,4.4,3,34,阜新
"乌岩岭Wuyanling Nature Reserve",8:00-16:30,4.5,3.5,45,温州
"九丈崖Jiuzhang Cliff",6:30-18:00,4.6,1.5,128,烟台
"九仙山风景区Jiuxian Mountain Scenic Area",05:00-18:00,4.3,72,9,日照
"九如山休闲旅游度假风景区Jiuru Mountain Waterfall Scenic Area",08:00-17:00,4.6,5,89,济南
"九宫山Jiugong Mountains",8:30-17:30,4.3,72,45,咸宁
"九峰山Jiufeng Mountain",8:00-17:00,4.1,12,30,平顶山
"九峰山风景区Jiufeng Mountain Scenic Area",8:00-17:00,4.6,4,16,金华
"九真山风景区Jiuzhen Mountain Scenic Area",8:30-17:00,4.3,2.5,50,武汉
"九莲山景区Jiulian Mountain Scenic Area",8:00-18:00,4.1,5.5,90,新乡
"九鼎山Jiuding Mountain",08:30-18:00,4.3,4,50,阿坝
"九龙山国家森林公园Jiulongshan National Forest Park",08:00-17:00,3.9,4,6,嘉兴
"二郎山喇叭河风景区Laba River Park, Erlangshan National Park",08:30-17:00,4.3,3.5,83,雅安
"二酉山Eryoushan",8:00-18:00,4.5,3,30,怀化
"云丘山旅游风景区",7:00-18:00,4.1,10,80,临汾
"云丘山玉皇顶索道Yunqiu Mountain Yuhuang Peak Ropeway",8:00-18:00,5,0.4,70,临汾
"云台山Yuntai Mountain",8:00-18:00,4.4,5,40,黔东南
"云山渔谷",08:00-18:00,5,2.5,30,赣州
"云山胜地Yunshan Wonderland",08:00-17:30,4.6,1,11,承德
"云峰山Clouds Peak Mountain",8:00-18:00,4.4,2,158,保山
"云帽峰（台沟山庄）Yunmao Peak (Taigou Villa)",8:00-17:00,5,12,15,抚顺
"云梦山风景区Yumeng Mountain Resort",08:30-17:30,4.3,3.5,29.1,邢台
"云洞岩Yundong Cave",08:00-18:00,4.6,2,6,漳州
"云蒙山皇家森林公园Yunmengshan Royal Forest Park",8:00-17:00,4.2,12,9,保定
"云门山风景区Yunmenshan Scenic Spot",8:00-17:30,4.6,3.5,1,潍坊
"云髻山自然保护区Mt. Yunji Nature Reserve",08:00-19:00,4.5,1,7,韶关
"云龙山Yunlong Mountain",7:00-21:00,4.6,2.5,40,徐州
"五华山旅游区Wuhuashan",8:30-18:00,4.1,12,60,广安
"五台山Mount Wutai",8:00-23:00,4.6,180,135,忻州
"五台山风景名胜区-菩萨顶Pusa Ding (Bodhisattva Top)",8:00-18:00,4.8,2,120,忻州
"五尖山国家森林公园Wujianshanguojia Forest Park",7:00-18:00,4.3,12,168,岳阳
"五岳寨风景区Wuyue Village",08:00-17:00,4.5,12,11,石家庄
"五指山Wuzhi Mountain",8:00-17:00,4.5,12,40,广州
"五指山Wuzhishan",7:30-16:00,5,2.5,0,三亚
"五指山热带雨林风景区Wuzhishan Tropical Rainforest",9:00-16:00,4.3,2.5,33,五指山
"五指峰景区",8:00-17:00,5,3,1,吉安
"五桂山Wuguishan",8:00-18:00,4.4,4.5,1,中山
"五泉山公园Wuquanshan Park",8:00-20:00,4.6,2.5,9,兰州
"五皇山Wuhuang Mountain",9:00-17:00,4.4,12,19.4,钦州
"五莲山风景区Wulian Mountain Scenic Spot",08:30-17:30,4.5,3.5,1,日照
"亚龙湾国际玫瑰谷Yalong Bay Rose Valley",08:00-17:30,3.9,2.5,44.4,三亚
"京东大峡谷Jingdong Grand Canyon",7:00-17:00,4.4,3.5,67,北京
"仙人山景区Xianren Mountain Sceneic Area",08:00-22:00,4.3,3.5,50,柳州
"仙人崖Immortal Cliff",08:30-17:30,4.4,2.5,20,天水
"仙华山景区Xianhua Mountain",08:20-17:00,4.5,3.5,50,金华
"仙叠岩Xiandie Rock",8:00-17:00,4.4,3.5,45,温州
"仙台山Xiantai Mountain",07:30-17:30,4,3,40,石家庄
"仙台山Xiantai Mountain Scenic Area",08:00-16:30,4.6,12,26,安阳
"仙堂山Xiantang Mountain",08:00-17:00,4.5,108,1.6,长治
"仙山湖风景区Xianshan Lake Scenic Area",8:30-16:00,4.4,2.5,2,湖州
"仙岩Xianyan",8:00-17:00,4.6,3.5,10,温州
"仙峰寺Xianfeng Temple",7:00-18:00,4.8,0.75,160,乐山
"仰韶大峡谷The Grand Canyon of Yangshao",8:00-18:00,4.1,3.5,68,三门峡
"仿山墓群",8:00-17:00,4.5,3,10,菏泽
"仿山旅游区Fangshan Tourist Area",09:00-16:30,2.2,12,25,菏泽
"会稽山兜率天景区",8:30-16:30,4.4,2.75,90,绍兴
"会稽山风景区Mount Huiji Scenic Area",8:00-16:30,4.3,3,55,绍兴
"位山黄河公园",09:00-16:00,5,2.5,20,聊城
"余荫山房Yuyin Hill House",8:00-18:00,4.6,2.5,14,广州
"佛子岭水库Foziling Reservoir",8:00-16:00,4.1,1.5,46,六安
"佛山祖庙Foshan Ancestral Temple",8:30-18:00,4.6,2.5,6,佛山
"佳木斯市水源山公园Shuiyuanshan Park (North Gate)",6:00-18:00,4.5,26.4,0,佳木斯
"保亭常青茶溪谷Baoting Evergreen Tea Valley",8:30-18:00,3.8,3.5,58,保亭
"保驾山景区Baojia Mountain",8:30-17:30,4.3,3.5,20,连云港
"信号山公园Signal Hill Park",8:00-17:00,4.6,1.5,10,青岛
"偏岩古镇Pianyan Ancient Town",8:00-17:00,4.1,1,6,重庆
"僖山景区",08:00-18:00,5,72,30,商丘
"僧冠峰Sengguan Peak",07:00-18:00,4.2,12,9.9,承德
"光明蝶谷飞鸟乐园Bright Butterfly Valley",9:00-17:00,4,108,68,长沙
"八公山国家森林公园",7:00-18:00,2.5,4,40,六安
"八公山风景区（国家地质公园）Bagong Mountain National Forest Park",8:00-18:00,4.3,4.5,40,淮南
"八达岭长城Badaling Great Wall",07:30-16:00,4.7,3.5,35,北京
